Course of Study,University/ Campus/ Institute,Uni-Code
1,Physics,Physical Science
2,Chemistry,Physical Science / Biological Science
7,Mathematics,Arts (Rare)
8,Agricultural Science,Biological Science
9,Biology,Biological Science
10,Combined Mathematics,Physical Science
11,Higher Mathematics,Physical Science (Legacy)
13,General English,Common
14,Civil Technology,Engineering Technology
15,Mechanical Technology,Engineering Technology
16,Electrical,"Electronic & Information Technology, Engineering Technology"
17,Food Technology,Engineering Technology
18,Agro Technology,Engineering Technology / Bio Systems
19,Bio Resource Technology,Bio Systems Technology
20,Information & Communication Technology (ICT),Technology / Common
21,Economics,Commerce / Arts
22,Geography,Arts
23,Political Science,Arts
24,Logic & Scientific Method,Arts
25A,History of India,Arts
25B,History of Europe,Arts
25C,History of Modern World,Arts
28,Home Economics,Arts
29,Communication & Media Studies,Arts
31,Business Statistics,Commerce
32,Business Studies,Commerce
32,Accounting,Commerce
41,Buddhism,Arts (Religion)
42,Hinduism,Arts (Religion)
43,Christianity,Arts (Religion)
44,Islam,Arts (Religion)
45,Buddhist Civilization,Arts
46,Hindu Civilization,Arts
47,Islamic Civilization,Arts
48,Greek & Roman Civilization,Arts
49,Christian Civilization,Arts
51,Art,Arts (Aesthetic)
52,Dancing (Indigenous),Arts (Aesthetic)
53,Dancing (Bharatha),Arts (Aesthetic)
54,Oriental Music,Arts (Aesthetic)
55,Carnatic Music,Arts (Aesthetic)
56,Western Music,Arts (Aesthetic)
57,Drama & Theatre (Sinhala),Arts (Aesthetic)
58,Drama & Theatre (Tamil),Arts (Aesthetic)
59,Drama & Theatre (English),Arts (Aesthetic)
65,Engineering Technology,Engineering Technology Stream
66,Bio Systems Technology,Bio Systems Technology Stream
67,Science for Technology,Technology Stream
71,Sinhala Language,Sinhala Medium / Common
72,Tamil Language,Tamil Medium / Common
73,English (Subject),English Medium
74,Pali,Arts (Language)
75,Sanskrit,Arts (Language)
78,Arabic,Arts (Language)
79,Malay,Arts (Language)
81,French,Foreign Language
82,German,Foreign Language
83,Russian,Foreign Language
84,Hindi,Foreign Language
86,Chinese,Foreign Language
87,Japanese,Foreign Language
88,Korean,Foreign Language
