Course of Study,University/ Campus/ Institute,Uni-Code
ARTS (SP) - MASS MEDIA,"SRIPALEE CAMPUS, UNIVERSITY OF COLOMBO",020S
ARTS (SP) - PERFORMING ARTS,"SRIPALEE CAMPUS, UNIVERSITY OF COLOMBO",041S
ARCHITECTURE,UNIVERSITY OF MORATUWA,023G
DESIGN,UNIVERSITY OF MORATUWA,024G
FASHION DESIGN & PRODUCT DEVELOPMENT,UNIVERSITY OF MORATUWA,034G
MUSIC,UNIVERSITY OF SRI JAYEWARDENEPURA,068C
MUSIC,UNIVERSITY OF JAFFNA,068E
MUSIC,"SWAMY VIPULANANDA INSTITUTE OF AESTHETIC STUDIES, EASTERN UNIVERSITY, SRI LANKA",068Y
MUSIC,UNIVERSITY OF THE VISUAL & PERFORMING ARTS,068Z
DANCE,UNIVERSITY OF JAFFNA,069E
DANCE,"SWAMY VIPULANANDA INSTITUTE OF AESTHETIC STUDIES, EASTERN UNIVERSITY, SRI LANKA",069Y
DANCE,UNIVERSITY OF THE VISUAL & PERFORMING ARTS,069Z
ART & DESIGN,UNIVERSITY OF JAFFNA,070E
DRAMA & THEATRE,"SWAMY VIPULANANDA INSTITUTE OF AESTHETIC STUDIES, EASTERN UNIVERSITY, SRI LANKA",071Y
DRAMA & THEATRE,UNIVERSITY OF THE VISUAL & PERFORMING ARTS,071Z
VISUAL & TECHNOLOGICAL ARTS,"SWAMY VIPULANANDA INSTITUTE OF AESTHETIC STUDIES, EASTERN UNIVERSITY, SRI LANKA",072Y
PHYSICAL EDUCATION,UNIVERSITY OF JAFFNA,081E
PHYSICAL EDUCATION,SABARAGAMUWA UNIVERSITY OF SRI LANKA,081L
SPORTS SCIENCE & MANAGEMENT,UNIVERSITY OF SRI JAYEWARDENEPURA,082C
SPORTS SCIENCE & MANAGEMENT,UNIVERSITY OF KELANIYA,082D
SPORTS SCIENCE & MANAGEMENT,SABARAGAMUWA UNIVERSITY OF SRI LANKA,082L
VISUAL ARTS,UNIVERSITY OF THE VISUAL & PERFORMING ARTS,085Z
LANDSCAPE ARCHITECTURE,UNIVERSITY OF MORATUWA,097G
FILM & TELEVISION STUDIES,UNIVERSITY OF KELANIYA,100D
