Model,Accuracy,F1
Prophet_XGBoost_Robust,0.9002,0.8840
ARIMA_XGBoost_Robust,0.9002,0.8822
Hybrid_XGBoost_Robust,0.9002,0.8821
ARIMA_CatBoost_Robust,0.8037,0.7646
ARIMA_CatBoost_Eval,0.8037,0.7646
ARIMA_CatBoost_Aligned,0.8037,0.7646
Hybrid_CatBoost_Robust,0.8026,0.7605
Hybrid_CatBoost_Aligned,0.8026,0.7605
Hybrid_CatBoost_Eval,0.8026,0.7605
Prophet_CatBoost_Eval,0.7993,0.7553
Prophet_CatBoost_Aligned,0.7993,0.7553
Prophet_CatBoost_Robust,0.7993,0.7553
Prophet_LightGBM_Eval,0.1842,0.1828
Prophet_LightGBM_Aligned,0.1842,0.1828
Prophet_LightGBM_Robust,0.1842,0.1828
ARIMA_LightGBM_Robust,0.1513,0.0398
ARIMA_LightGBM_Aligned,0.1513,0.0398
ARIMA_LightGBM_Eval,0.1513,0.0398
Hybrid_LightGBM_Robust,0.0154,0.0255
Hybrid_LightGBM_Aligned,0.0154,0.0255
Hybrid_LightGBM_Eval,0.0154,0.0255
ARIMA_XGBoost_Eval,0.0000,0.0000
Prophet_XGBoost_Eval,0.0000,0.0000
Hybrid_XGBoost_Eval,0.0000,0.0000
