Id,Start time,Completion time,Email,Name,Age?,Gender?,Native/First Language?,Language of Study?,O/L Result?.Religion ,O/L Result?.Mathematics,O/L Result?.Science,O/L Result?.English,O/L Result?.History,O/L Result?.Language,Did you completed A/L?,A/L Stream?,A/L Result?,Other Qualifications or Certifications?,English Proficiency,IELTS Score?,English Level?,Studying Area?,Career Goal?,Monthly Income (personal or family support for education),Funding Method?,Completion Period?,Study Method?,Availability?,Location?,Study Location,Are you Relocated?,Employment Status?,Monthly Salary in LKR?,Work Experience,Course/Program You Are Currently Enrolled,Course Fees?,Semester Fees?,Campus?,How satisfied are you with this course?,How useful would you find a system that recommends courses based on your profile?,Any additional comments or suggestions?
1,10/1/2025 17:41,10/1/2025 17:43,anonymous,,25,Male,Tamil,English,A,A,C,C,A,B,Yes,Physical Science,"Physics – A, Chemistry – B, Biology – C",,Self-rated,,Intermediate,Information Technology,Become a software engineer,"LKR 50,000–100,000",Need scholarship,3-4 years,Onsite,Weekdays,Colombo,Colombo,Yes,Unemployed,,,adfcwefc,,,wefcwe,4,3,No
2,10/21/2025 22:21,10/21/2025 22:25,anonymous,,25,Male,Tamil,English,A,A,C,C,A,B,Yes,Arts,"Physics – A, Chemistry – B, Combined Maths– C",,Self-rated,,Intermediate,Information Technology,Become a software engineer,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekends,Colombo,Colombo,Yes,Full-time,"100,000",1.5 year in IT,BSc (Hons) in Information Technology Specialising in Information Technology,,,SLIIT,3,5,Nothing
3,10/21/2025 22:26,10/21/2025 22:29,anonymous,,25,Male,Tamil,English,A,A,C,C,A,B,Yes,Physical Science,"Physics – A, Chemistry – B, Combined Science – C",,Self-rated,,Intermediate,Information Technology,Become a software engineer,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekends,Colombo,Colombo,Yes,Full-time,"100,000",1.5 year in IT,BSc (Hons) in Information Technology Specialising in Information Technology,,,SLIIT,3,5,Nothing
4,10/21/2025 23:29,10/21/2025 23:35,anonymous,,23,Female,Tamil,English,A,B,C,A,B,A,Yes,Commerce,"Accounting - S, Business Studies - S, Economics - S",,Self-rated,,Beginner,Business & Management,Become a HR,"LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekdays,Colombo,Colombo,Yes,Unemployed,"50,000",,BA (Hon) Human Resource Management,,,NIBM,4,5,It will be useful for students
5,10/21/2025 23:35,10/22/2025 0:49,anonymous,,20,Male,English,English,A,A,A,A,A,A,No,,,,Self-rated,,Intermediate,Business & Management,Become a HR,"> LKR 100,000",Self-funded,2-3 years,Onsite,Weekdays,Colombo,Colombo,No,Unemployed,"130,000",,BA (Hon) Human Resource Management,,,NIBM,5,5,Good
6,10/23/2025 0:30,10/23/2025 0:32,anonymous,,19,Male,Sinhala,English,A,A,A,A,A,A,No,,,,Self-rated,,Intermediate,Business & Management,Become a HR,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Colombo,Colombo,No,Unemployed,"120,000",,BA (Hon) Human Resource Management,,,NIBM,5,5,Nice
7,10/23/2025 10:45,10/23/2025 10:52,anonymous,,22,Male,Sinhala,English,B,C,C,C,C,B,Yes,Commerce,"Accounting - C, Business Studies - C, Economics - C",,Self-rated,,Intermediate,Business & Management,Become a Business analyst,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Colombo,Colombo,No,Unemployed,"100,000",,BM (Honors) in Business Analytics,,,NSBM,5,5,Good
8,10/25/2025 15:42,10/25/2025 15:48,anonymous,,20,Male,English,English,A,B,C,A,C,B,Yes,Physical Science,"Physics –S , Chemistry – F, Combained Maths – S",,Self-rated,,Intermediate,Information Technology,IT Security Specialist,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Galle,Colombo,Yes,Unemployed,"60,000",,B.Sc(Hons) in Ethical Hacking and Network Security,"2,370,000","296,250",NIBM,3,4,Good
9,10/25/2025 15:48,10/25/2025 18:17,anonymous,,20,Male,English,English,A,C,B,A,S,B,Yes,Physical Science,"Physics – S, Chemistry – S, Combained Maths-S",,Self-rated,,Intermediate,Information Technology,IT Security Specialist,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekends,Galle,Colombo,Yes,Unemployed,"70,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,360,000.00","Rs.296,250.00",NIBM,4,3,"Good 
"
10,10/25/2025 18:17,10/25/2025 18:22,anonymous,,20,Male,English,English,A,B,C,A,B,C,Yes,Physical Science,"Physics – S, Chemistry – S, Combained Maths-S
",,Self-rated,,Intermediate,Information Technology,"IT Security Specialist
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Galle,Colombo,Yes,Unemployed,"90,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00","Rs.296,250.00",NIBM,3,4,"Good 
"
11,10/25/2025 19:27,10/25/2025 19:30,anonymous,,22,Male,Sinhala,English,B,C,B,C,B,A,Yes,Bio Science,"Physics – F, Chemistry – S, Biology – S",,Self-rated,,Intermediate,Information Technology,Information Security Specialist,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekends,Badulla ,Colombo,Yes,Unemployed,"85,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00","Rs.296,250.00",NIBM,3,4,Good
