,BEng (Hons) Electronic & Electrical Engineering,BEng (Hons) in Mechatronics and Autonomous Systems,BSc (External) in Applied Data Analytics,"BSc (External) in Environment, Development and Sustainability
",BSc (Hons) Business Management with Business Analytics,BSc (Hons) Business Management with Digital marketing,BSc (Hons) Civil Engineering,BSc (Hons) Cybersecurity,BSc (Hons) in Computer Networks,BSc (Hons) in Computing (Software Engineering Pathway),BSc (Hons) in Data Science,BSc (Hons) in Ethical Hacking and Network Security,BSc (Hons) in Ethical Hacking and Networking Security,BSc (Hons) in Information Technology for Business,BSc (Hons) in Management Information Systems,BSc (Hons) in Psychology (Including Foundation Year) – London Metropolitan University (UK),BSc Engineering (Hons) in Civil Engineering,BSc Engineering (Hons) in Mechanical Engineering,Bachelor of Technology in Food Process Technology,Bachelor of Technology in Industrial Management Technology,"Higher National Diploma in Engineering- (Building Services)
",Supply Chain Management
Age?,-0.10892514998454554,-0.07680777567539711,0.1011970400518609,0.3451837201043573,-0.00933856072453895,0.11355037671252184,-0.000459290995864105,0.46843175585406405,-0.2124079381805364,-0.1264710726188442,-0.312227461277207,0.07901390655252102,0.08913572359810557,0.03463667531657438,0.24307394568205537,0.06091802751469229,0.15986690227740044,-0.3389535227517115,-0.7835833080200675,0.08207972725958713,0.17483707704399418,0.01724920226097775
Gender?,0.14456068462378524,-0.5061213487464282,-0.4036554982749393,0.29675290636116686,-0.03960095205898691,-0.016436838195088885,0.22858792355554108,-0.4935232025908662,-0.2522813246291221,0.21037523851492765,0.28346041635400426,-0.05011935387111069,0.13318673188348787,0.01256162043084262,-0.16484114936980562,-0.04687793036519095,-0.22165926377021752,0.3462322088660781,0.032656418486343375,0.4768019417689098,0.08735699668699218,-0.05741622566031902
Native/First Language?,0.09593975733889636,0.6419043410932145,0.1344012209352784,-0.8547712550198607,-0.5298250472252154,0.6922025432407147,-0.09738340411539814,-0.8370940596671762,-0.216359770552577,0.6294482171946132,0.3102204869368188,0.08324649303239823,0.9581536726101372,-0.2806339857433907,-0.31170446253001804,0.4340574426684724,0.21101049117949058,-0.949380384046038,-0.9350167967605835,0.345709995496035,0.6502394212301594,-0.17436491729596962
Location?,0.011336533226561064,0.1857748707379096,-0.16521188938231865,0.23059559342777644,-0.3223703171751815,0.17955276580000934,-0.12502027631439583,-0.3115791338715094,0.2435099560298662,-0.4780240572638151,0.010757895419351226,-0.027679146711241925,0.720677971119777,0.036563729706381984,-0.037500921068024246,-0.15391733443560146,0.1431343054516657,-0.14216742823666778,0.19814658451597197,-0.021490058614413842,-0.3148170838975059,0.1397274415354045
OL_Average_Score,0.09518384564066029,-0.8199926027367718,-0.04084784872962611,-0.17611451215982274,-0.7745173071050399,1.258669821531524,0.431604383124215,-0.5067649450084766,0.17417970724467138,0.06863836405972339,1.4649088865099007,0.13692627380632333,-0.08816069832318665,-0.14546433331609135,0.14554948891648511,0.052912950580775,-1.0798203112108653,-0.6379589668077202,-0.1637495684091575,-0.2703973859734119,0.2973161887252589,0.5778985696406284
OL_Best_Score,-0.33440233914605116,0.06147347459862545,-0.0849158993585168,0.9963600429684506,0.3271227531358462,-0.1720939942166258,-0.024849939989490467,0.4050254633378216,0.4266835258178078,-0.22112722800711718,-0.3536939619135505,0.31620924570595327,-0.9929436526924541,0.2595567450866619,0.2777220260939674,-0.404888774907745,0.37847478948971547,-0.28680033423405854,-0.1714020584389921,-0.1706779448874416,-0.17718703595761107,-0.053644902485200145
OL_Worst_Score,0.7066543020107646,-0.42303959443945693,-0.6280407426269773,-0.19730222914519188,-0.18567598704246735,-0.5153851884581845,-0.6762615309496726,-0.1804811124795046,0.42297421700605364,-0.3412295008968395,-0.4261428082798661,-0.33293099039055607,0.3700618907285133,0.275898477186386,0.36065527726602514,0.16756063351019695,0.28453995556824335,0.8320439260017622,0.3740315844733873,0.21915505812839378,-0.2613667486692502,0.15428111149824378
OL_Total_A_Grades,-0.5687184298864658,1.3481135812406,-0.26309938049095155,-0.04249623191773679,0.017039744961809416,0.1999659185603315,-0.4851850094512427,0.7545272641906922,-0.47055570526210966,-0.08220952849514519,-0.49354441963944756,-0.03825746718654869,0.6766484855841601,-0.11890023127234378,-0.38990774154927105,0.0520138653086456,0.7425159898767556,-0.2803660548007477,-0.635355422123359,0.333579117768231,-0.0027444053113487555,-0.25306394010450983
Completed_AL,0.013238715766802803,0.0035112020888740576,0.0064328723161045836,0.02172382625407076,0.04023380416159821,0.00956765482452535,0.0070780860343473305,0.003266675573611497,0.018302935919844353,0.014077250777632925,0.03487619214073114,-0.2270611962477682,-0.0005966127727441112,0.009710696873089088,0.004909139380164597,0.007716366833998115,0.010900397651019392,0.00040629954082544833,0.003931082049006468,0.0031988451768316193,0.00939047789161594,0.005185287765818769
A/L Stream?,-0.19034175083841356,-0.19923501759017906,-0.14083899871343994,0.8359755114108206,0.060731401429305804,0.5949924558283519,-0.015845657575871884,0.42348318197910473,-0.1095840725621481,-0.09012603707610771,0.1619454111731016,0.21677719891021602,-0.5737995455171127,0.18755040538899867,-0.14597544416735564,-0.36283833350983025,0.06185450794567907,-0.33283399464580976,-0.17463282505685238,-0.6200126865403808,0.24733596180239314,0.16541832792553432
