Feature,Importance
Location?,0.4633675650097519
Career Goal?,0.12433122254439606
Monthly Income (personal or family support for education),0.10776835345989766
Age?,0.10158769047243461
A/L Stream?,0.08427421320999057
Native/First Language?,0.04710846561555876
Gender?,0.035685820349401015
Availability?,0.018364766024535233
Completion Period?,0.017511903314034297
English Proficiency,0.0
Study Method?,0.0
Studying Area?,0.0
OL_Average_Score,0.0
Did you completed A/L?,0.0
OL_Best_Score,0.0
OL_Worst_Score,0.0
OL_Total_A_Grades,0.0
OL_Total_Passed,0.0
